Journal Data Filtered By:  Selected Categories: MEDICAL LABORATORY TECHNOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,,,
,,,,,,,,,,,
Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
CLINICAL CHEMISTRY,CLIN CHEM,OXFORD UNIV PRESS INC,0009-9147,1530-8561,MEDICAL LABORATORY TECHNOLOGY,SCIE,"22,114",6.3,Q1,2.49,39.87%
Translational Research,TRANSL RES,ELSEVIER SCIENCE INC,1931-5244,1878-1810,MEDICAL LABORATORY TECHNOLOGY,SCIE,"7,093",5.9,Q1,2.14,18.69%
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,CRIT REV CL LAB SCI,TAYLOR & FRANCIS LTD,1040-8363,1549-781X,MEDICAL LABORATORY TECHNOLOGY,SCIE,"3,350",5.5,Q1,1.11,25.77%
PHARMACEUTICAL BIOLOGY,PHARM BIOL,TAYLOR & FRANCIS LTD,1388-0209,1744-5116,MEDICAL LABORATORY TECHNOLOGY,SCIE,"10,212",4.8,Q1,1.56,95.60%
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,BRIT J BIOMED SCI,FRONTIERS MEDIA SA,0967-4845,2474-0896,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,020",4.6,Q1,1.29,100%
Annals of Laboratory Medicine,ANN LAB MED,KOREAN SOC LABORATORY MEDICINE,2234-3806,2234-3814,MEDICAL LABORATORY TECHNOLOGY,SCIE,"2,112",3.9,Q1,1.57,100%
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,CLIN CHEM LAB MED,WALTER DE GRUYTER GMBH,1434-6621,1437-4331,MEDICAL LABORATORY TECHNOLOGY,SCIE,"11,146",3.7,Q1,1.53,26.76%
SEMINARS IN DIAGNOSTIC PATHOLOGY,SEMIN DIAGN PATHOL,W B SAUNDERS CO-ELSEVIER INC,0740-2570,1930-1111,MEDICAL LABORATORY TECHNOLOGY,SCIE,"2,013",3.5,Q1,1.01,9.17%
Journal of Mass Spectrometry and Advances in the Clinical Lab,J MASS SPECTROM ADV,ELSEVIER,2667-1468,2667-145X,MEDICAL LABORATORY TECHNOLOGY,SCIE,328,3.4,Q2,1.39,100%
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,COLL AMER PATHOLOGISTS,0003-9985,1543-2165,MEDICAL LABORATORY TECHNOLOGY,SCIE,"11,117",3.2,Q2,1.38,92.11%
CLINICA CHIMICA ACTA,CLIN CHIM ACTA,ELSEVIER,0009-8981,1873-3492,MEDICAL LABORATORY TECHNOLOGY,SCIE,"20,920",2.9,Q2,1.31,19.71%
JOURNAL OF CLINICAL LABORATORY ANALYSIS,J CLIN LAB ANAL,WILEY,0887-8013,1098-2825,MEDICAL LABORATORY TECHNOLOGY,SCIE,"7,604",2.9,Q2,1.16,66.75%
CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,WILEY,1552-4949,1552-4957,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,765",2.7,Q2,1.08,35.29%
THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,LIPPINCOTT WILLIAMS & WILKINS,0163-4356,1536-3694,MEDICAL LABORATORY TECHNOLOGY,SCIE,"4,307",2.4,Q2,0.74,18.64%
CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,PERGAMON-ELSEVIER SCIENCE LTD,0009-9120,1873-2933,MEDICAL LABORATORY TECHNOLOGY,SCIE,"9,111",2.1,Q2,1.05,21.70%
Journal of Applied Laboratory Medicine,J APPL LAB MED,OXFORD UNIV PRESS INC,2576-9456,2475-7241,MEDICAL LABORATORY TECHNOLOGY,ESCI,"1,443",1.9,Q2,0.78,16.46%
Biochemia Medica,BIOCHEM MEDICA,CROATIAN SOC MEDICAL BIOCHEMISTRY & LABORATORY MEDICINE,1330-0962,1846-7482,MEDICAL LABORATORY TECHNOLOGY,SCIE,"5,249",1.8,Q3,0.95,90.08%
Journal of Laboratory Medicine,J LAB MED,WALTER DE GRUYTER GMBH,2567-9430,2567-9449,MEDICAL LABORATORY TECHNOLOGY,SCIE,469,1.8,Q3,0.5,100%
SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,SCAND J CLIN LAB INV,TAYLOR & FRANCIS LTD,0036-5513,1502-7686,MEDICAL LABORATORY TECHNOLOGY,SCIE,"3,437",1.4,Q3,0.53,26.34%
Journal of Laboratory and Precision Medicine,J LAB PRECIS MED,AME PUBLISHING COMPANY,2519-9005,2519-9005,MEDICAL LABORATORY TECHNOLOGY,ESCI,326,1.4,Q3,0.39,100%
Biopreservation and Biobanking,BIOPRESERV BIOBANK,"MARY ANN LIEBERT, INC",1947-5535,1947-5543,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,314",1.4,Q3,0.31,5.61%
CLINICS IN LABORATORY MEDICINE,CLIN LAB MED,W B SAUNDERS CO-ELSEVIER INC,0272-2712,1557-9832,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,722",1.3,Q3,0.73,0%
Practical Laboratory Medicine,PRACT LAB MED,ELSEVIER,N/A,2352-5517,MEDICAL LABORATORY TECHNOLOGY,ESCI,517,1.3,Q3,0.7,99.41%
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,LIPPINCOTT WILLIAMS & WILKINS,1541-2016,1533-4058,MEDICAL LABORATORY TECHNOLOGY,SCIE,"2,230",1.2,Q3,0.75,12.93%
ANNALS OF CLINICAL BIOCHEMISTRY,ANN CLIN BIOCHEM,SAGE PUBLICATIONS INC,0004-5632,1758-1001,MEDICAL LABORATORY TECHNOLOGY,SCIE,"3,456",1,Q4,0.68,4.35%
ANNALS OF CLINICAL AND LABORATORY SCIENCE,ANN CLIN LAB SCI,ASSOC CLINICAL SCIENTISTS,0091-7370,1550-8080,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,946",1,Q4,0.47,0%
LABORATORY MEDICINE,LAB MED,OXFORD UNIV PRESS,0007-5027,1943-7730,MEDICAL LABORATORY TECHNOLOGY,SCIE,"1,486",1,Q4,0.47,7.34%
DIAGNOSTIC CYTOPATHOLOGY,DIAGN CYTOPATHOL,WILEY,8755-1039,1097-0339,MEDICAL LABORATORY TECHNOLOGY,SCIE,"3,109",1,Q4,0.42,13.98%
Journal of Cytology,J CYTOL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0970-9371,0974-5165,MEDICAL LABORATORY TECHNOLOGY,SCIE,592,1,Q4,0.39,85.57%
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,ADV LAB MED,WALTER DE GRUYTER GMBH,N/A,2628-491X,MEDICAL LABORATORY TECHNOLOGY,ESCI,189,0.9,Q4,0.3,100%
Clinical Laboratory,CLIN LAB,CLIN LAB PUBL,1433-6510,1433-6510,MEDICAL LABORATORY TECHNOLOGY,SCIE,"2,516",0.6,Q4,0.26,0%
ANNALES DE BIOLOGIE CLINIQUE,ANN BIOL CLIN-PARIS,JLE,0003-3898,1950-6112,MEDICAL LABORATORY TECHNOLOGY,SCIE,584,0.4,Q4,0.09,0.56%
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,0325-2957,1851-6114,MEDICAL LABORATORY TECHNOLOGY,SCIE,86,0.1,Q4,0.03,0%
,,,,,,,,,,,
Copyright (c) 2025 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
